prime,TARGET,relation1_f-t,relation2_f-t,FAS_f-t,BAS_f-t,f_CUEfanout,TARGETfanin,rank,LSA_f-t,BEAGLE_RPs,BEAGLE_PMI,BEAGLE cosine,BEAGLE WIKI NIN,BEAGLE WIKI Cosine,LSA
sapphire,blue,perceptual property,NA,0.162,0,12,62,1,0.28,0.079582461,2.84633161,0.21164742,85,0.298611113,0.611471567
embarrass,blush,perceptual property,NA,0.22,0.411,10,7,1,0.15,0.266505777,4.67960317,0.02048168,NA,NA,0.558238833
bulletin,board,fpa,NA,0.633,1.30E-02,12,33,1,0.58,0.013366276,2.503442693,0.425074366,7,0.515980848,0.319533614
hull,boat,script,NA,0.311,0,10,73,1,0.5,0.129427656,1.580319492,0.33851211,8,0.578572957,0.599680712
physiology,body,unclassifed,NA,0.327,0,14,84,1,0.29,0.069843775,0.305491299,0.279273429,33,0.22710138,0.394467972
explosion,bomb,functional property,NA,0.255,0,15,25,1,0.53,0.138314155,2.23561124,0.283866143,232,0.659465949,0.74825673
hip,bone,fpa,NA,0.188,0,18,35,1,0.58,0.199207305,1.07504933,0.246135667,219,0.232760717,0.383125774
magazine,book,category,NA,0.244,3.10E-02,13,150,1,0.29,0.233488321,0.267601435,0.543278327,3,0.629751922,0.250838336
hiking,boots,fpa,NA,0.207,0,18,10,1,0.13,0.087407061,3.195686035,0.13879799,108,0.141207943,0.297268156
whiskey,booze,supraordinate,NA,0.141,1.40E-02,15,8,1,0.3,0,1.507077235,0.157010793,387,NA,0.686864586
busy,bored,antonym,NA,0.098,0,24,7,1,0.45,0.256360603,0.392014559,0.370790652,779,0.582872034,0.59289103
monotonous,boring,synonym,NA,0.484,0,12,78,1,0.19,0.213017257,15.38485207,0.088659832,4271,0.45173935,0.555522512
lend,borrow,synonym,NA,0.554,0.41,7,12,1,0.81,0.573608934,1.830422924,0.665458458,2,0.680525895,0.800090291
secretary,boss,unclassifed,NA,0.156,2.60E-02,21,29,1,0.3,0.056559384,0.123948379,0.214594094,2601,0.161957815,0.147678679
nag,bother,synonym,NA,0.216,1.40E-02,15,17,1,0.25,0.144330136,1.049320696,0.280863029,7,0.183288319,0.450311124
arrow,bow,instrument,bpa,0.53,0.4,9,15,1,0.56,0.069619783,8.263317608,0.411026244,2,0.655835417,0.366930055
carton,box,synonym,NA,0.372,3.10E-02,7,55,1,0.39,0.28479993,1.173222831,0.401634665,5,NA,0.360576724
fighter,boxer,supraordinate,NA,0.209,0.145,13,7,1,0.16,0.036493989,0.668404399,0.124494696,4249,0.295784836,0.329050875
girl,boy,antonym,NA,0.738,0.701,8,54,1,0.53,0.467207374,3.108061155,0.842213125,2,0.713584533,0.876140226
girlfriend,boyfriend,antonym,NA,0.487,0.458,13,17,1,0.28,0.052796368,5.916613441,0.034370668,NA,0.910942358,0.948613257
hardy,boys,fpa,NA,0.137,0,21,15,1,0.19,0.081481769,0.980450267,0.091644676,7811,0.425075138,0.23369182
underwear,bra,supraordinate,NA,0.209,0,19,10,1,0.33,0.063887656,10.10457315,0.091749492,5032,0.467767872,0.897504593
charm,bracelet,fpa,NA,0.333,1.40E-02,18,6,1,0.32,0.084997834,12.36808957,0.251676669,133,0.393001239,0.28551261
thinking,brain,functional property,NA,0.145,0,20,39,1,0.23,0.164817108,0.300866177,0.336993862,1794,0.489703313,0.408814648
twig,branch,synonym,NA,0.392,9.40E-02,6,10,1,0.32,0.225095524,2.211074007,0.28374125,12,0.346298203,0.197257259
daring,brave,synonym,NA,0.152,0,25,17,1,0.52,0.156031664,0.856944995,0.339651987,18,0.631331442,0.8191673
valor,bravery,synonym,NA,0.158,1.40E-02,15,3,1,0.08,0,11.30504497,0.080001382,2806,0.795542128,0.80504758
stale,bread,fpa,NA,0.303,0,14,50,1,0.36,0.099429213,18.08860022,0.23017383,185,0.497481506,0.511050413
shatter,break,synonym,NA,0.419,4.40E-02,4,80,1,0.23,0.079434716,0.530213389,0.149197479,31,0.478351942,0.482668868
cereal,breakfast,supraordinate,NA,0.333,5.40E-02,11,22,1,0.43,0.165781992,35.99833039,0.365984245,28,0.485019154,0.305071613
air,breathe,functional property,NA,0.176,0.368,17,16,1,0.64,0.190862276,0.699768538,0.675568751,18,0.427394457,0.321659136
block,brick,synonym,NA,0.1,5.10E-02,27,14,1,0.55,0.278206714,0.609399226,0.454072328,49,0.525658354,0.584854057
groom,bride,antonym,category,0.62,0.865,11,6,1,0.74,0.068173172,37.90969459,0.505107496,2,0.698775995,0.933623323
england,britain,synonym,NA,0.164,NA,12,3,1,0.31,0.160064588,0.408769227,0.733990159,2,0.703372287,0.435889001
cauliflower,broccoli,category,NA,0.342,8.80E-02,10,6,1,0.73,0,474.1479925,0.276610479,3,0.592758248,0.924338206
promise,broken,bpa,NA,0.191,0,15,30,1,0.11,0.054076167,0.286639019,0.211456465,2080,0.649589557,0.611044963
sister,brother,antonym,NA,0.538,0.746,16,22,1,0.77,0.36208483,1.066412875,0.706896594,3,0.791143821,0.770387219
righteous,brothers,fpa,NA,0.158,NA,15,3,1,0.06,0.028494857,1.222915073,0.070035713,11088,0.541371597,0.26068989
bristle,brush,supraordinate,NA,0.397,1.10E-02,12,19,1,0.34,0.186475321,37.52271332,0.239560493,18,NA,0.769272663
burst,bubble,fpa,NA,0.209,2.90E-02,12,12,1,0.22,0.118296406,8.478575722,0.102783056,10620,0.596155382,0.549095565
pail,bucket,synonym,NA,0.5,0.223,7,8,1,0.54,0.348786866,21.92272408,0.647073476,5,0.42349479,0.681647595
bison,buffalo,synonym,NA,0.387,6.10E-02,10,5,1,0.69,0.314167756,22.28379559,0.479622134,3,0.377037535,0.509784604
cricket,bug,supraordinate,NA,0.216,0,14,52,1,0.38,0.084069919,0.231057648,0.165076363,1923,0.219789968,0.036186655
construction,build,unclassifed,NA,0.333,0,12,35,1,0.43,0.262865145,0.479930519,0.488888557,15,0.762215222,0.581807839
contractor,builder,category,NA,0.277,0.06,16,10,1,0.27,0.023095697,2.388078739,0.002130512,NA,0.505824989,0.533665998
architect,building,unclassified,NA,0.289,0,16,67,1,0.67,0.092503006,0.759081415,0.370215142,2,0.605100469,0.738191297
